,Mixed Material,,,,,,,Process Data,,,,,,Seed Experiment,,,,Prediction
Reference,Mixture_main,Mixture_secondary,pH_m,"EC_m
(ms/cm)","MC_m
(%)",C/N_m,Additive,"Duration_time
(day)","T_ambient
(℃)","T_p
(℃)",pH_p,"EC_p
(ms/cm)","Aeration
( L/kg(dry mass)·min)",Seed,weight/volume,"Grow_time
(day)","Grow_T
(℃）","GI_p
(%)"
S2,Food Waste,Cornstalks,5.085,2.415,61.8,20.15,0,7,32.3602,70.6748,7.36196,2.53559,0.4,Radish,0.1,3,25,71.8644
S2,Food Waste,Cornstalks,5.085,2.415,61.8,20.15,0,13.9205,29.7135,33.3742,7.14724,2.14237,0.4,Radish,0.1,3,25,89.4915
S2,Food Waste,Cornstalks,5.085,2.415,61.8,20.15,0,21,29.1132,31.9018,7.26994,1.93898,0.4,Radish,0.1,3,25,98.9831
S2,Food Waste,Cornstalks,5.085,2.415,61.8,20.15,0,27.9205,28.322,29.6933,7.51534,1.95254,0.4,Radish,0.1,3,25,120.678
S2,Food Waste,Cornstalks,5.085,2.415,61.8,20.15,0,35,28.9495,27.2393,7.20859,1.84407,0.4,Radish,0.1,3,25,138.305
S2,Food Waste,mushroom,5.175,2.34,62.1,22.67,0,0.954545,30.0136,53.0061,4.69325,2.44068,0.4,Radish,0.1,3,25,0.677966
S2,Food Waste,mushroom,5.175,2.34,62.1,22.67,0,3.02273,34.2701,76.0736,6.34969,2.49492,0.4,Radish,0.1,3,25,46.1017
S2,Food Waste,mushroom,5.175,2.34,62.1,22.67,0,6.84091,32.3602,65.2761,7.26994,2.41356,0.4,Radish,0.1,3,25,82.7119
S2,Food Waste,mushroom,5.175,2.34,62.1,22.67,0,14,29.7135,36.8098,7.66871,1.83051,0.4,Radish,0.1,3,25,106.441
S2,Food Waste,mushroom,5.175,2.34,62.1,22.67,0,21,29.1132,36.319,8.06748,1.88475,0.4,Radish,0.1,3,25,113.22
S2,Food Waste,mushroom,5.175,2.34,62.1,22.67,0,27.9205,28.322,30.9202,8.19018,1.76271,0.4,Radish,0.1,3,25,125.424
S2,Food Waste,mushroom,5.175,2.34,62.1,22.67,0,34.9205,28.9495,27.4847,8.06748,1.72203,0.4,Radish,0.1,3,25,146.441
S3,Food Waste,Garden waste,5.16,2.205,61.365,25.73,0,0.0810185,30.1632,30.25,4.48598,2.1,0.4,Radish,0.1,3,20,1.5625
S3,Food Waste,Garden waste,5.16,2.205,61.365,25.73,0,2.91667,34.3857,76.5,5.57632,1.975,0.4,Radish,0.1,3,20,25
S3,Food Waste,Garden waste,5.16,2.205,61.365,25.73,0,6.96759,32.5052,55.75,7.38318,2.175,0.4,Radish,0.1,3,20,96.875
S3,Food Waste,Garden waste,5.16,2.205,61.365,25.73,0,13.9352,29.6026,35,7.57009,1.9375,0.4,Radish,0.1,3,20,93.75
S3,Food Waste,Garden waste,5.16,2.205,61.365,25.73,0,20.9838,29.0864,35.25,7.41433,1.8125,0.4,Radish,0.1,3,20,107.031
S3,Food Waste,Garden waste,5.16,2.205,61.365,25.73,0,27.9514,28.154,30.75,7.66355,1.5,0.4,Radish,0.1,3,20,142.188
S3,Food Waste,Garden waste,5.16,2.205,61.365,25.73,0,34.919,28.9975,28,7.6947,1.5875,0.4,Radish,0.1,3,20,148.438
S3,Food Waste,Garden waste,5.16,2.205,61.365,25.73,1,0.0810185,30.1632,30.25,4.42368,2.1,0.4,Radish,0.1,3,20,3.125
S3,Food Waste,Garden waste,5.16,2.205,61.365,25.73,1,2.99769,34.3857,69.5,5.57632,2.25,0.4,Radish,0.1,3,20,43.75
S3,Food Waste,Garden waste,5.16,2.205,61.365,25.73,1,6.96759,32.5052,67.75,7.35202,1.9,0.4,Radish,0.1,3,20,72.6563
S3,Food Waste,Garden waste,5.16,2.205,61.365,25.73,1,13.9352,29.6026,34,7.60125,2,0.4,Radish,0.1,3,20,96.0938
S3,Food Waste,Garden waste,5.16,2.205,61.365,25.73,1,20.9028,29.0864,39.5,7.50779,1.875,0.4,Radish,0.1,3,20,135.156
S3,Food Waste,Garden waste,5.16,2.205,61.365,25.73,1,28.0324,28.154,30.5,7.66355,1.9,0.4,Radish,0.1,3,20,157.813
S3,Food Waste,Garden waste,5.16,2.205,61.365,25.73,1,35,28.9975,27.25,7.19626,1.975,0.4,Radish,0.1,3,20,172.656
S3,Food Waste,Garden waste,5.16,2.205,61.365,25.73,1,0.0810185,30.1632,30.25,4.36137,1.8375,0.4,Radish,0.1,3,20,2.34375
S3,Food Waste,Garden waste,5.16,2.205,61.365,25.73,1,2.91667,34.3857,71,4.79751,2,0.4,Radish,0.1,3,20,13.2813
S3,Food Waste,Garden waste,5.16,2.205,61.365,25.73,1,6.88657,32.5052,56,6.69782,1.925,0.4,Radish,0.1,3,20,47.6563
S3,Food Waste,Garden waste,5.16,2.205,61.365,25.73,1,13.9352,29.6026,38.75,7.72586,1.65,0.4,Radish,0.1,3,20,105.469
S3,Food Waste,Garden waste,5.16,2.205,61.365,25.73,1,20.9838,29.0864,34.75,7.60125,1.75,0.4,Radish,0.1,3,20,134.375
S3,Food Waste,Garden waste,5.16,2.205,61.365,25.73,1,27.9514,28.154,39,7.44548,1.6375,0.4,Radish,0.1,3,20,141.406
S3,Food Waste,Garden waste,5.16,2.205,61.365,25.73,1,34.919,28.9975,30.75,7.32087,1.7625,0.4,Radish,0.1,3,20,172.656
S3,Food Waste,Garden waste,5.16,2.205,61.365,25.73,1,0.0810185,30.1632,30.25,4.45483,2.25,0.4,Radish,0.1,3,20,0.78125
S3,Food Waste,Garden waste,5.16,2.205,61.365,25.73,1,2.91667,34.3857,73.75,5.29595,1.975,0.4,Radish,0.1,3,20,14.0625
S3,Food Waste,Garden waste,5.16,2.205,61.365,25.73,1,7.04861,32.5052,54,7.22741,1.4125,0.4,Radish,0.1,3,20,75.7813
S3,Food Waste,Garden waste,5.16,2.205,61.365,25.73,1,14.0162,29.6026,42.75,7.72586,1.5125,0.4,Radish,0.1,3,20,107.813
S3,Food Waste,Garden waste,5.16,2.205,61.365,25.73,1,20.9838,29.0864,45.25,7.53894,1.4125,0.4,Radish,0.1,3,20,145.313
S3,Food Waste,Garden waste,5.16,2.205,61.365,25.73,1,27.8704,28.154,33,7.60125,1.4875,0.4,Radish,0.1,3,20,151.563
S3,Food Waste,Garden waste,5.16,2.205,61.365,25.73,1,34.919,28.9975,28,7.85047,1.475,0.4,Radish,0.1,3,20,207.031
S3,Food Waste,Garden waste,5.16,2.205,61.365,25.73,1,0.162037,30.1632,30.25,4.42368,2.1,0.4,Radish,0.1,3,20,1.5625
S3,Food Waste,Garden waste,5.16,2.205,61.365,25.73,1,2.99769,34.3857,75.5,5.60748,1.6625,0.4,Radish,0.1,3,20,34.375
S3,Food Waste,Garden waste,5.16,2.205,61.365,25.73,1,6.96759,32.5052,64.25,7.25857,1.275,0.4,Radish,0.1,3,20,84.375
S3,Food Waste,Garden waste,5.16,2.205,61.365,25.73,1,14.0162,29.6026,40.5,7.50779,1.375,0.4,Radish,0.1,3,20,125.781
S3,Food Waste,Garden waste,5.16,2.205,61.365,25.73,1,20.9028,29.0864,33,7.41433,1.4375,0.4,Radish,0.1,3,20,131.25
S3,Food Waste,Garden waste,5.16,2.205,61.365,25.73,1,27.8704,28.154,32.5,7.60125,1.6,0.4,Radish,0.1,3,20,159.375
S3,Food Waste,Garden waste,5.16,2.205,61.365,25.73,1,34.838,28.9975,29,7.60125,1.5,0.4,Radish,0.1,3,20,200
S4,Food Waste,sawdust,4.4,1.58,60,22,0,0,15.1126,18.5538,4.40308,1.57538,0.4,cucumber,0.1,2,25,19.6923
S4,Food Waste,sawdust,4.4,1.58,60,22,0,5.94059,15.8129,44.0308,4.36615,1.64923,0.4,cucumber,0.1,2,25,25.2308
S4,Food Waste,sawdust,4.4,1.58,60,22,0,11.9554,14.3018,56.2154,6.32308,1.66154,0.4,cucumber,0.1,2,25,46.1538
S4,Food Waste,sawdust,4.4,1.58,60,22,0,19.9752,13.587,60.6462,7.70769,2.51077,0.4,cucumber,0.1,2,25,52.9231
S4,Food Waste,sawdust,4.4,1.58,60,22,0,24.9505,13.3976,48.1846,8.15077,2.73231,0.4,cucumber,0.1,2,25,63.0769
S4,Food Waste,sawdust,4.4,1.58,60,22,0,30,12.5631,12.7385,8.07692,3.04,0.4,cucumber,0.1,2,25,68.3077
S4,Food Waste,sawdust,4.38,1.45,60,22,1,0,15.1126,18.2769,4.38462,1.45231,0.4,cucumber,0.1,2,25,17.8462
